Recipe ID,Recipe Title,Calories,Fat/g,Carbo/g,Protein/g,Alcohol,Vegetarian,Vegan,Gluten Free,Dairy Free,Dish Type,Ingredients,Instructions,Ready in Minutes,Image,Popular,Price Per Serving,Halal,Breakfast,Lunch,Dinner,Snack 1,Snack 2
58,Caesar Salad,698.0,52.0,38.0,22.0,0.0,0,0,0,0,salad,"anchovy,   balsamic vinegar,   bell pepper,   crusty bread,   dijon mustard,   garlic,   juice of lemon,   olive oil,   olive oil,   parmesan cheese,   parmesan cheese,   romaine hearts,   salt,   salt,   worcestershire sauce","Dressing: Place anchovies into a blender or food processor. Throw in garlic, Dijon Mustard, Worcestershire and vinegar. Next, add lemon juice. Give it a good mix. Pulse the processor or blend on low speed for several seconds. Scrape the sides. With the food processor or blender on, dizzle olive oil into the mixture in a small stream. Scrape the sides, and mix it again to thoroughly combine. Add salt, black pepper and Parmesan cheese. Pulse the whole thing together and mix until thoroughly combined. Refrigerate the dressing for a few hours before using it on the salad.Croutons: Slice the bread into thick slices and cut them into 1-inch cubes. Throw them onto a baking sheet. Heat olive oil in a small saucepan or skillet over low heat. Peel and crushbut dont chop2 cloves of garlic and add them to the oil. Use a spoon to move the garlic around in the pan. After about 3 to 5 minutes, turn off the heat and remove the garlic from the pan. Slowly drizzle the olive oil over the bread cubes. Mix together with your hands, then sprinkle lightly with salt. Bake at 200 for one hour, shaking the pan occasionally.One hour after baking, crank up the heat to 400 degrees. Bake them on high heat for just a few minutes.Salad:Wash and dry hearts of Romaine lettuce, cut the lettuce with a knife. Use a vegetable peeler and shave off large, thin slices of Parmesan. Drizzle about half of the dressing over the top of the lettuce. Throw in a good handful of the Parmesan shavings. Give it a good initial toss, just so you can evaluate how much more dressing you need. Add more dressing and Parmesan to taste. Add cooled croutons. Toss gently.",90,https://spoonacular.com/recipeImages/127-556x370.jpg,0,2.9732,1,1,0,0,0,0
59,Poussins with Anchovy,62.0,5.0,3.0,2.0,0.0,0,0,0,0,side dish,"anchovy,   chicken stock,   chives,   flat-leaf parsley,   flour,   salt and pepper,   shallots,   sweet paprika,   thyme,   unsalted butter,   whole-grain mustard,   poussins","Preheat the oven to 425. Rub the poussins all over with paprika and 1 tablespoon of the butter. Season with salt and pepper. Truss the poussins by simply tying the legs together with string. Set the poussins in a large, shallow metal roasting pan. Roast the poussins in the upper third of the oven for 1 hour, or until nicely browned and the juices from the cavities run clear. Meanwhile, in a small bowl, mix the remaining 1 tablespoon of butter with the flour until a smooth paste forms. Transfer the poussins to a large platter, draining their juices into the roasting pan. Pour the pan juices into a glass measuring cup and skim the fat from the surface: reserve 1 tablespoon of the fat. Set the roasting pan on two burners. Add the chicken stock and bring to a boil over moderately high heat, scraping up the browned bits from the bottom of the pan. Pour the stock into the glass measuring cup. Heat the reserved 1 tablespoon of fat in a medium saucepan. Add the shallots and cook over low heat, stirring, until softened, about 5 minutes. Add the liquid in the measuring cup and bring to a simmer over moderate heat. Whisk in the anchovies, mustard and flour paste and whisk until the sauce is smooth and slightly thickened, about 3 minutes. Remove the pan from the heat, stir in the herbs and season with salt and pepper. Pour the sauce into a warmed gravy boat. Cut the strings from the poussins and transfer them to plates. Pass the anchovy-mustard sauce at the table.",90,https://spoonacular.com/recipeImages/129-556x370.jpg,0,4.133,1,0,0,0,1,0
60,Anchovy and White Bean Pizza,4352.0,93.0,715.0,162.0,0.0,0,0,0,0,main course,"canned anchovies,   canned great northern beans,   garlic clove,   lemon juice,   olive oil,   oregano,   parmesan cheese,   pepper,   bell pepper,   pizza crust,   red onion","Preheat your oven to the temperature specified on the pizza dough packaging or according to your recipe if using homemade dough. Roll out the pizza dough on a lightly floured surface to your desired thickness. Transfer the rolled-out dough onto a baking sheet or pizza stone. In a small bowl, mash the white beans with a fork or potato masher until they form a rough paste. Spread the mashed white beans evenly over the pizza dough, leaving a small border around the edges for the crust. Scatter the chopped anchovy fillets, sliced red onion, minced garlic, and chopped parsley over the white beans. Drizzle the olive oil over the toppings and season with salt and pepper to taste. Sprinkle the grated Parmesan cheese evenly over the pizza. If desired, add any optional toppings such as sliced black olives, cherry tomatoes, or fresh basil leaves. Place the pizza in the preheated oven and bake according to the instructions for your specific dough or recipe, usually around 12-15 minutes or until the crust is golden and crispy. Remove the Anchovy and White Bean Pizza from the oven and let it cool for a few minutes before slicing and serving.",45,https://spoonacular.com/recipeImages/130-556x370.jpg,0,18.0,1,1,0,0,0,0
61,Ribeye Steaks and Mushrooms,604.0,53.0,8.0,26.0,0.0,0,0,1,0,main course,"anchovy filets,   chives,   garlic,   grapeseed oil,   kosher salt,   kosher salt,   lemon zest,   mushrooms,   orange zest,   parsley,   bell pepper,   ribeye steaks,   unsalted butter","Preheat the oven to 500 degrees. Once it is preheated and smoking hot and you are ready to put the steaks in the oven, we will turn off the oven and turn on the broiler on high. Place the steaks on a plate and season well with kosher salt and freshly ground black pepper. Use more salt than you think you need. I used 1 tsp per steak but it really depends upon the size of the steak. Set aside at room temperature while you prepare the rest of the meal (at least 30 - 45 minutes). Combine all of the ingredients for the butter in a small bowl. Put in the freezer to harden up. You will likely have more butter than you need for this recipe but it is great on everything and keeps well in the fridge. Once you are ready to cook the steaks, turn off the oven and turn on the broiler to high. Heat an ovenproof skillet over very high heat until blazing hot. Brush the bottom of the pan with a very thin layer of oil. Place the steaks in the pan and immediately place under the broiler. Cook until medium rare, about 6-8 minutes but watch carefully as it depends upon the size of the steak. Remove steaks to individual plates and top each with a pat of the butter and smear it along the length of the steak as it melts. Set aside so they can rest. Drain all but 1 teaspoon of fat from the pan and place over medium high heat. Add a pat of the butter. Once melted, add the mushrooms and saute until cooked, 3-4 minutes. Top the steaks with the mushrooms and enjoy.",45,https://spoonacular.com/recipeImages/131-556x370.jpg,0,4.3133,1,1,0,0,0,0
62,Spaghetti con Acciughe e Mollica,378.0,15.0,51.0,9.0,0.0,0,0,0,1,side dish,"bread crumbs,   chiles,   flat-leaf parsley,   garlic cloves,   olive oil,   salt packed anchovies,   spaghetti","If using salt-packed anchovies, rinse them under cold water. With your fingers, pry them open along the back and lift out backbone to yield 2 fillets. Rinse fillets again to remove any fine bones; pat dry on paper towels. If using anchovy fillets in olive oil, lift out of jar or tin, leaving oil behind (no need to rinse oil-packed fillets). Finely chop 6 fillets; set aside. Cut remaining 6 fillets into 4 or 5 pieces each; set aside. In an 8-qt. pot, bring 5 qts. well-salted water to a boil over high heat. Add pasta and cook, stirring occasionally, until tender to the bite, about 10 minutes. Meanwhile, put olive oil, garlic, finely chopped anchovies, and chiles in a deep 12-in. frying pan (with at least 2-in. sides) or wide pot and cook over low heat, stirring, until anchovies dissolve. Stir in parsley and remaining anchovies; turn off heat. When pasta is almost done, set aside 1 cup of the cooking water, then drain pasta and transfer to pan of anchovy sauce. Toss quickly until all the strands are well coated. Add some reserved cooking water if pasta seems dry. Set aside 2 tbsp. bread crumbs, then add remainder to pasta and toss again. Divide pasta among 8 warm bowls and sprinkle each serving with some reserved bread crumbs. Serve immediately.",50,https://spoonacular.com/recipeImages/132-556x370.jpg,0,5.687,1,0,0,0,1,0
63,Grilled Sirloin with Anchovy,236.0,12.0,3.0,28.0,0.0,0,0,1,0,main course,"anchovy paste,   broccoli rabe,   crushed red pepper,   garlic cloves,   ground pepper,   kosher salt,   lemon juice,   lemon rind,   lower sodium beef broth,   olive oil,   onion,   sirloin steak,   unsalted butter","Heat a grill pan over medium-high heat; coat with cooking spray. Sprinkle steak with 1/4 teaspoon salt and 1/4 teaspoon pepper. Add steak to pan; cook for 3 minutes on each side. Let stand 5 minutes. Cut steak across grain into thin slices. Place butter in a bowl. Microwave at 10 seconds. Add 1/8 teaspoon salt, 1/8 teaspoon pepper, 1/2 teaspoon rind, juice, and anchovy paste; stir until combined. Set aside. Heat a skillet over medium-high heat. Add oil. Add onion; saut 2 minutes. Add garlic and red pepper; saut 30 seconds. Stir in broth and rabe; bring to a boil. Cover and simmer 3 minutes. Remove from heat; stir in remaining rind and salt. Place 3 ounces steak and 1/2 cup rabe on each of 4 plates. Top each steak with 1 1/2 teaspoons butter.",45,https://spoonacular.com/recipeImages/133-556x370.jpg,0,2.4795,1,1,0,0,0,0
64,Seared Scallops,486.0,35.0,21.0,22.0,0.0,0,0,0,0,main course,"anchovy,   basil,   corn kernels,   eggs,   flour,   heavy cream,   lemon juice,   olive oil,   pea shoots,   salt,   sea scallops,   unsalted butter,   water,   whole milk","Preheat the oven to 400. Butter four 1-cup ramekins. In a medium saucepan, combine the corn, milk and heavy cream and simmer over moderately high heat for 2 minutes. Puree half of the mixture in a blender. Return the puree to the saucepan. In another medium saucepan, melt the butter. Add the flour and cook over moderately high heat, stirring, for 1 minute. Gradually whisk in the corn mixture and bring to a boil, then simmer, whisking, for 1 minute; season with salt. Remove from the heat and whisk in the egg yolks. Let cool until warm, about 20 minutes. In a large, stainless steel bowl, using a handheld mixer, beat the egg whites with a pinch of salt until firm peaks form. Fold one-third of the beaten whites into the corn mixture, then fold in the remaining whites. Spoon the mixture into the ramekins. Set the ramekins in a small baking dish and carefully add enough water to the dish to reach one-third of the way up the sides of the ramekins. Bake for about 30 minutes, until the puddings are just slightly jiggly in the center. In a large skillet, heat 3 tablespoons of the olive oil until smoking. Season the scallops with salt, add them to the skillet and cook over high heat until browned on the bottom, about 3 minutes. Turn and cook the scallops for 1 minute longer. Remove the skillet from the heat and transfer the scallops to a large plate. Add the anchovies to the skillet and cook over moderately high heat, stirring, until they dissolve, about 2 minutes. Add 1 tablespoon of the lemon juice and the water to the skillet and simmer until thickened, scraping up the browned bits on the bottom of the pan, about 1 minute. Remove from the heat. Stir in the basil and any accumulated juices from the scallops. Season with salt. Return the scallops to the skillet and keep warm. In a bowl, toss the pea shoots with the remaining 1/2 tablespoon of olive oil and 1 teaspoon of lemon juice; season with salt. Arrange the scallops on 4 plates and pour the basil-anchovy sauce on top. Mound the pea shoot salad alongside and serve with the corn puddings.",80,https://spoonacular.com/recipeImages/134-556x370.jpg,0,31.0,1,1,0,0,0,0
65,Pissaladière,27.0,1.0,4.0,1.0,0.0,0,0,0,1,appetizer,"bay leaf,   olive oil,   olives,   oregano,   pizza crust,   roasted red bell pepper,   salt,   salt packed anchovy,   thyme sprigs,   yellow onions","Divide the pizza dough in half and form each half into a ball.Prepare a hot fire in a grill and preheat a pizza stone for at least 30 minutes, until the thermometer on the stone registers 500F.In a large saut pan over medium-high heat, warm the 2 Tbs. olive oil. Add the onions, salt, bay leaf and thyme and cook, stirring occasionally, until the onions brown, 4 to 5 minutes. Reduce the heat to low and continue cooking, stirring occasionally, until the onions are tender and translucent, 4 to 5 minutes more. Remove the bay leaf and thyme sprigs and discard. Let the onions cool.Using a rolling pin or your hands, gently roll out or stretch 1 ball of dough into a 10-by-6-inch rectangle. Lightly dust a pizza peel with flour and lay the dough on top. Spread half of the onions evenly over the dough, leaving a 1/2-inch border. Arrange 10 of the anchovy slices on top of the onions in 2 lengthwise rows. Place 1 bell pepper strip across each anchovy strip. Arrange 15 of the olives in 3 lengthwise rows. Carefully slide the pissaladire onto the preheated pizza stone, cover the grill and bake until the crust is golden brown, 10 to 12 minutes.Using a pizza peel, transfer the pissaladire to a cutting board. Sprinkle with 1/2 Tbs. of the oregano and cut into slices. Drizzle with olive oil. Repeat with the remaining ingredients. Serves 4 to 6. Note: Use a mandoline to slice the onions quickly and evenly. A cherry pitter makes fast work of pitting the olives.",64,https://spoonacular.com/recipeImages/135-556x370.jpg,0,1.193,1,0,0,0,1,0
66,Olives Stuffed with Anchovies,108.0,11.0,3.0,1.0,0.0,0,0,1,1,side dish,"almonds,   garlic clove,   oil packed tuna,   olive oil,   olives,   orange zest,   piquillo peppers,   sherry vinegar","Rinse the pitted green olives under cold water to remove any excess brine or salt. In a small bowl, combine the roasted almonds, minced anchovy fillets, and diced roasted red peppers. Mix well to combine the ingredients. Stuff each pitted olive with a small amount of the almond, anchovy, and pepper mixture. Press the filling firmly into the olives. Place the stuffed olives in a shallow dish or serving platter. In a separate small bowl, whisk together the lemon juice and extra virgin olive oil. Drizzle the lemon and olive oil mixture over the stuffed olives, coating them evenly. Garnish the olives with fresh parsley or basil leaves, if desired. Allow the flavors to meld by refrigerating the olives for at least 1 hour before serving. Serve the Olives Stuffed with Almonds, Anchovies, and Peppers as an appetizer or as part of a larger antipasto platter.",70,https://spoonacular.com/recipeImages/136-556x370.jpg,0,5.313,1,0,0,0,1,0
67,Serious Ragu,1891.0,130.0,29.0,136.0,6.0,0,0,1,1,main course,"anchovy,   beef,   canned tomatoes,   carrot,   celery,   garlic,   lamb chops,   nutmeg,   olive oil,   parsley leaves,   pork spareribs,   salt and pepper,   tomato sauce,   white wine,   yellow onion","Return the browned meat to the pot. Add the crushed tomatoes and tomato sauce along with 2 cups of water. Bring to a simmer, then reduce heat to low and slowly simmer the rag for about 3 hours. Give it a stir from time to time and add more water if it looks like it is getting too thick. Remove all the large pieces of meat from the pot to a large cutting board. Discard all the bones and gristle and any of the meat that you dont like the look of. Finely chop the remaining meat and return it to the pot. Put the pot on the stove over low heat and barely simmer the rag for another 2 hours. Continue to add water if the sauce gets too thick. Just before serving, add parsley. Serve over pasta with grated parmigiano-reggiano, if you like.",45,https://spoonacular.com/recipeImages/137-556x370.jpg,0,8.5893,0,1,0,0,0,0
68,Spanish Anchovy Salad,162.0,16.0,4.0,1.0,0.0,1,1,1,1,side dish,"baby arugula,   fennel bulb,   olive oil,   preserved lemon,   red onion,   red wine vinegar,   vinegar","Whisk oil and vinegar in small bowl. Season dressing with salt and pepper. Combine mche, 1/2 cup fennel, 1/3 cup onion, and preserved lemon in large bowl. Toss with enough dressing to coat. Arrange on platter. Top with remaining fennel and onion, then anchovies. Drizzle with more dressing and serve. *QUICK PRESERVED LEMONS: Combine 1 thinly sliced lemon, 1/2 cup lemon juice, and 4 teaspoons coarse sea salt in small skillet. Bring to boil; reduce heat and simmer, covered, until almost tender, about 10 minutes.",25,https://spoonacular.com/recipeImages/139-556x370.jpg,0,6.883,0,0,0,0,1,0
69,Anchovy and Rosemary Roasted Lamb,459.0,22.0,1.0,60.0,0.0,0,0,1,1,main course,"anchovy,   black pepper,   fresh rosemary,   garlic cloves,   leg of lamb,   olive oil,   salt","Marinate lamb: Mince garlic and anchovies and mash to a paste with a large heavy knife, then stir together with oil and rosemary in a small bowl. Pat lamb dry and transfer, fat side up, to rack in pan. Make several small 1-inch-deep slits in lamb with a paring knife, then rub marinade over entire surface of lamb, pushing some marinade into slits. Marinate lamb, loosely covered, at room temperature 1 hour. Roast lamb: Put oven rack in middle position and preheat oven to 400°F. Sprinkle lamb all over with salt and pepper, then roast until thermometer inserted into thickest part of lamb (almost to the bone but not touching it) registers 125°F for medium-rare, 1 1/2 to 1 3/4 hours (temperatures in thinner parts of leg may register up to 160°F). Let stand 30 minutes before slicing. Cooks' note: Lamb can be marinated, covered and chilled, up to 5 hours. Bring to room temperature, about 1 hour, before roasting.",300,https://spoonacular.com/recipeImages/140-556x370.jpg,0,5.2583,1,1,0,0,0,0
70,Salade Niçoise Sandwich,377.0,13.0,42.0,25.0,0.0,0,0,0,1,main course,"anchovy,   baguette,   black pepper,   canned tuna,   cherry tomatoes,   green beans,   olive oil,   olives,   red onion,   red wine vinegar","Bring a large pot of salted water to a boil. Add the green beans and cook until bright green and tender, 3 to 5 minutes. Drain and transfer to a bowl of ice water. Drain again and return to bowl. Meanwhile, place the anchovies in a small bowl and smash them with a fork. Add the vinegar and 2 tablespoons of the oil. Drizzle the anchovy mixture over the green beans and toss; set aside. In a separate bowl, combine the tuna, tomatoes, olives, onion, pepper, and the remaining oil. Halve the baguette lengthwise, then cut it crosswise into 4 portions. Toast the baguette, if desired. Spoon some of the tuna mixture onto the bottom of each baguette portion. Sandwich with the top half and press gently but firmly. Serve with the green beans. Tip: If you don't like anchovies, try a large pinch of kosher salt instead.",20,https://spoonacular.com/recipeImages/141-556x370.jpg,0,2.1135,0,1,0,0,0,0
71,Steak with Anchovy Butter,778.0,66.0,1.0,47.0,0.0,0,0,1,0,main course,"anchovy filets,   butter,   canola oil,   extra virgin olive oil,   fresh flat-leaf parsley,   garlic clove,   kosher salt,   kosher salt,   pepper,   steak,   unsalted butter","Combine the garlic, anchovy filets, salt, and olive oil in a mortar and pestle and mash to a smooth paste. Add the parsley and grind with the pestle until well blended with the garlic and anchovies. Work in the butter and add a few grinds of the pepper mill. Set aside. Taste and adjust the salt (add up to another 1/8 teaspoon). Heat a heavy skillet over high heat. Pat the steaks dry and season generously on both sides with salt and pepper. With your fingertips, press the seasonings into the steaks. When the pan is hot, add the canola oil. Heat just to below smoking and add the steaks, in batches if necessary to avoid crowding the pan. Cook for 3 minutes on each side for rare 1-inch-thick steaks, 4 to 5 minutes for thicker steaks. Remove the steaks from the pan and immediately dollop 4 to 6 heaped tablespoons of the butter over the top. Let the meat rest for a couple of minutes, then slice and serve at once.",45,https://spoonacular.com/recipeImages/143-556x370.jpg,0,5.565,1,1,0,0,0,0
72,Potato Salad With Horseradish,311.0,21.0,25.0,7.0,0.0,0,0,1,1,salad,"anchovy,   baby potatoes,   bacon,   coarse salt,   extra virgin olive oil,   flat-leaf parsley,   horseradish,   lemon juice,   scallions,   white potatoes,   yellow bell pepper","Using a vegetable steamer, steam potatoes for 10 minutes or until fork-tender. Transfer to a large bowl and let cool slightly. In a medium skillet over medium heat, fry the bacon until crisp. Reserve one tablespoon of fat, and set bacon aside to drain on a layer of paper towels. Whisk together the bacon fat, olive oil, horseradish, lemon juice, scallions and anchovies in a small bowl until emulsified, season with salt and pepper to taste, then pour over potatoes. Crumble bacon into the bowl, then add the yellow pepper and parsley and toss lightly to coat completely. Cover and let sit for 30 minutes, then serve at room temperature.",55,https://spoonacular.com/recipeImages/144-556x370.jpg,0,1.4994,1,1,0,0,0,0
73,Spaghetti with Anchovy Carbonara,489.0,18.0,66.0,16.0,0.0,0,0,0,1,main course,"aleppo pepper,   anchovies,   egg yolks,   flat-leaf parsley,   garlic cloves,   lemon zest,   olive oil,   oregano,   salt and pepper,   spaghetti","In a large pot of salted boiling water, cook the spaghetti until al dente. Drain the pasta, reserving 1/2 cup of the cooking water. In a large, deep skillet, heat the oil with the garlic and anchovies and cook over moderately high heat until the anchovies have dissolved, about 2 minutes. Add the red pepper, zest, oregano and parsley, then add the pasta and toss to coat. Remove from the heat. In a small bowl, whisk the yolks with the reserved cooking water and add to the pasta. Cook over low heat, tossing until the pasta is coated in a creamy sauce, about 1 minute. Season with salt and pepper and serve.",30,https://spoonacular.com/recipeImages/145-556x370.jpg,0,1.2508,1,1,0,0,0,0
74,Cod with Potatoes and Anchovy,796.0,22.0,113.0,39.0,0.0,0,0,1,1,main course,"anchovy,   capers,   chicken stock,   chives,   coarse salt,   cod fillets,   dijon mustard,   fingerling potatoes,   garlic,   lemon zest,   olive oil,   olive oil,   olives,   olives,   shallots","Preheat your oven to 400°F (200°C). Place the quartered potatoes in a large pot of salted water and bring it to a boil. Cook the potatoes until they are tender when pierced with a fork, about 15-20 minutes. While the potatoes are cooking, prepare the anchovy-olive oil emulsion. In a small bowl, combine the minced anchovy fillets, minced garlic, olive oil, and lemon juice. Stir well to combine the ingredients and set the emulsion aside. Once the potatoes are cooked, drain them and return them to the pot. Use a fork or a potato masher to lightly crush the potatoes, leaving some texture. Place the cod fillets on a baking sheet lined with parchment paper. Season the fillets with salt and pepper to taste. Brush the cod fillets generously with the prepared anchovy-olive oil emulsion, making sure to coat them evenly. Transfer the crushed potatoes onto another baking sheet or into an oven-safe dish. Season the potatoes with salt and pepper to taste. Place both the cod fillets and crushed potatoes in the preheated oven. Bake for about 15-20 minutes or until the cod is cooked through and the potatoes are golden and crispy. Remove the cod and potatoes from the oven. Serve the cod fillets on top of the crushed potatoes. Garnish with fresh chopped parsley. Serve the Cod with Crushed Potatoes and Anchovy-Olive Oil Emulsion hot.",45,https://spoonacular.com/recipeImages/146-556x370.jpg,0,6.2907,1,1,0,0,0,0
75,Vegetable and Potato Salad with Anchovy,561.0,15.0,98.0,13.0,0.0,0,0,1,0,side dish,"bay leaves,   black peppercorns,   cherry tomatoes,   fingerling potatoes,   garlic cloves,   green beans,   marjoram,   milk,   oil packed tuna,   olive oil,   parsley,   red wine vinegar,   rosemary,   salt and pepper,   thyme,   yellow wax beans","In a saucepan of boiling salted water, cook the yellow beans until just tender, 3 minutes. Using a slotted spoon, transfer the beans to a baking sheet and let cool. Add the green beans to the boiling water and cook until just tender, 2 minutes. Using the slotted spoon, add the green beans to the baking sheet. Let cool, then pat dry. Add the garlic, bay leaves, thyme, rosemary and peppercorns to the boiling water. Add the potatoes and simmer over moderately high heat until tender, about 20 minutes. Drain the potatoes, reserving the garlic cloves. Discard the seasonings. Meanwhile, in a small bowl, soak the anchovies in the milk for 10 minutes. Drain the anchovies, then coarsely chop them and transfer to a blender. Add the olive oil and the reserved garlic and puree. With the machine on, slowly add the vinegar. Scrape the dressing into a bowl, season with salt and pepper and stir in the parsley and marjoram. Slice the boiled potatoes 1/4 inch thick and put them in a large bowl. Add half of the anchovy dressing and toss gently. Add the yellow and green beans, the cherry tomatoes and the remaining dressing, toss gently and serve.",40,https://spoonacular.com/recipeImages/148-556x370.jpg,0,3.4162,0,0,0,0,1,0
76,Grilled Salmon With Basil Aioli,360.0,25.0,1.0,31.0,0.0,0,0,1,1,main course,"anchovy fillets,   baby zucchini,   egg yolks,   fresh basil,   garlic cloves,   lemon juice,   olive oil,   pepper sauce,   red wine vinegar,   salmon fillet,   water,   worcestershire sauce","Whisk egg yolks, basil, garlic, anchovies, vinegar, and Worcestershire sauce in medium bowl. Whisk in 2 tablespoons oil a few drops at a time, then gradually whisk in remaining oil in thin stream. Whisk in 1 tablespoon warm water, lemon juice, and hot pepper sauce. Season to taste with salt and pepper. Cover and chill. DO AHEAD Can be made 1 day ahead. Keep chilled.Prepare barbecue (high heat). Brush grill rack with oil. Brush salmon with oil; sprinkle with salt and pepper. Grill salmon uncovered 5 minutes. Using 2 large spatulas, carefully turn fish over. Grill until fish just begins to flake in center, 4 to 5 minutes longer. Transfer salmon to platter. Arrange Blistered Baby Zucchini, Baby Pattypan Squash, and Grilled Tomatoes around salmon. Serve with aioli.",45,https://spoonacular.com/recipeImages/157-556x370.jpg,0,3.7061,0,1,0,0,0,0
77,Italian Salsa Verde,404.0,15.0,55.0,13.0,0.0,0,0,0,1,main course,"anchovy,   capers,   cornichons,   olive oil,   parsley leaves,   sea salt,   white sandwich bread,   white wine vinegar","In a bowl, combine the finely chopped parsley, capers, minced garlic, and minced anchovy fillets. Add the Dijon mustard and lemon juice to the bowl. Stir well to combine all the ingredients. Slowly drizzle the extra virgin olive oil into the mixture, whisking continuously until the sauce emulsifies. Taste the salsa verde and season with salt and pepper as desired. Adjust the seasoning to your preference. Transfer the salsa verde to a serving bowl or jar. It can be used immediately or refrigerated for later use. The salsa verde is versatile and can be served as a condiment for various dishes. It pairs well with grilled meats, roasted vegetables, or can be used as a dip or spread. Enjoy the Italian Salsa Verde as a flavorful and herbaceous addition to your favorite dishes.",45,https://spoonacular.com/recipeImages/160-556x370.jpg,0,11.3672,0,1,0,0,0,0
78,Pissaladiere Strips,252.0,15.0,26.0,4.0,0.0,0,0,0,0,side dish,"anchovy,   baking powder,   flour,   fresh rosemary,   olive oil,   onion,   red bell pepper,   salt,   unsalted butter,   whole milk,   yellow bell pepper,   niçoise","Make filling: Cook onion, anchovy, bell peppers, rosemary, a rounded 1/4 teaspoon salt, and 1/8 teaspoon pepper in oil in a heavy medium skillet over medium heat, stirring occasionally, until onion is golden, about 10 minutes. Transfer to a bowl and stir in olives, then cool filling. Make dough while filling cools: Preheat oven to 400F with rack in middle. Whisk together flour, baking powder, and salt in a bowl. Blend in butter with a pastry blender or your fingertips until most of mixture resembles coarse meal with some small (roughly pea-size) butter lumps. Add milk and stir with a fork until a shaggy dough forms. Gently knead dough 8 to 10 times with floured hands on a lightly floured surface. Assemble tarts: Roll out dough into a 12-inch square (1/4 inch thick) on a lightly floured surface with a floured rolling pin. Cut into 3 equal strips. Arrange strips 1 inch apart on an ungreased baking sheet and spread with filling, leaving a 1/2-inch border around edges. Bake until crust is golden, 20 to 25 minutes. Transfer to a rack using a large metal spatula and cool to warm or room temperature. Cut crosswise into 1-inch pieces. Cooks' notes: Filling can be made 1 day ahead and chilled, covered. Bring to room temperature before using. Pissaladire strips can be baked 3 hours ahead and kept, uncovered, at room temperature.",280,https://spoonacular.com/recipeImages/161-556x370.jpg,0,4.343,1,0,0,0,1,0
79,"Roast Pork Loin, Turnips, Garlic and Anchovies",177.0,14.0,11.0,2.0,0.0,0,0,1,1,side dish,"anchovies,   capers,   extra virgin olive oil,   garlic,   onions,   parsley,   red wine vinegar,   sea salt,   turnips","Remove the skin of the pork in one piece (this is not hard: with a thin, sharp knife, gently slice under the skin, following it around the pork), then gently score it (if in doubt your butcher will remove the bone and score it for you). Place the skin back where it was before. In a roasting pan layout your onions and place your pork and skin on top of them, then season with salt and pepper. Put into a hot 425F oven for 2 hours. Meanwhile, make your dressing: mix the garlic, anchovies, capers, parsley, oil, vinegar, and pepper, and keep at the ready. Fifteen minutes before the pork is done, cook your turnips in boiling salted water. When cooked add the greens, then drain straightaway. Place these into a serving bowl, dress, and toss so all get to know the dressing. Remove the pork from the oven; it will hold its heat well and will enjoy a rest if things are a little out of sync. If the skin is not crispy enough return it to the oven to crisp up while you slice the loin into chops. Place these on top of the dressed turnips and greens. Finally, remove the crisp skin from the oven and roughly chop it with a big knife.",240,https://spoonacular.com/recipeImages/164-556x370.jpg,0,9.034,0,0,0,0,1,0
80,Caponata-stuffed Zucchini,156.0,8.0,18.0,5.0,0.0,0,0,0,1,side dish,"anchovy,   capers,   chives,   eggplant,   garlic cloves,   kosher salt,   lemon juice,   lemon wedges,   olive oil,   onion,   panko breadcrumbs,   parsley,   red bell pepper,   zucchini","Heat oven to 375 degree. Scoop out seeds and some pulp from zucchini and reserve in a small bowl. Brush outside of zucchini shells with 1 teaspoon oil and place on a baking sheet. Roast for 15 minutes. Chop reserved zucchini pulp and set aside.Meanwhile, heat 1 tablespoon oil in a large skillet over medium heat. Add onion and pepper and cook, stirring occasionally, until softened, about 5 minutes. Add 1 tablespoon oil and eggplant and cook, stirring occasionally, until eggplant is tender, about 10 minutes (add 24 tablespoons water if pan gets too dry). Stir in garlic and anchovy fillets and cook, stirring, for 2 minutes. Remove from heat and stir in reserved zucchini pulp, capers, chives, parsley, lemon juice, and breadcrumbs. Season to taste with salt.Scoop filling into zucchini shells, then drizzle with remaining 2 teaspoons oil. Roast until golden, 15 minutes more. Serve with lemon wedges.",45,https://spoonacular.com/recipeImages/167-556x370.jpg,0,1.4287,1,0,0,0,1,0
